TIPO DE DISPOSITIVO,MODELO,COSTO,E2 PERU,PERU CINE RENTAL,RENTAL PERU AUDIOVISUAL
CAMARA,BlackMagic Mini Ursa Pro 4.6K,S/ 500.00,1,0,1
CAMARA,Sony Cinema Line FX30,S/ 350.00,1,0,1
CAMARA,Sony A7S III,S/ 350.00,1,0,0
CAMARA,Sony PXW-Z190,S/ 300.00,1,0,1
CAMARA,Sony A7C Mark II,S/ 250.00,1,0,1
CAMARA,BlackMagic 6K Full Frame,S/ 240.00,1,0,0
CAMARA,Videocamara Sony PXW-Z150,S/ 220.00,1,0,1
CAMARA,Canon EOS 5D Mark IV,S/ 200.00,1,0,0
CAMARA,Camara PTZ 4K NDI,S/ 180.00,1,0,1
CAMARA,BlackMagic Pocket Cinema Camera 4K,S/ 150.00,1,1,1
CAMARA,Sony ZV-E10,S/ 120.00,1,1,0
CAMARA,Sony Alpha A6000 Kit,S/ 90.00,1,1,1
CAMARA,Camara 360° Insta360 X3,S/ 100.00,1,1,1
CAMARA,Camara miniatura SDI Marshall CV503,S/ 80.00,1,1,1
LENTES,Tamron 24mm F2.8 Di III OSD M 1:2 para Sony E,S/ 50.00,1,0,1
LENTES,Sigma Art 24-70 F2.8 para Canon,S/ 150.00,1,0,1
LENTES,Tilt 50mm F1.4 TTArtisan para Sony Full Frame,S/ 50.00,1,0,1
LENTES,optica Sony G Master 70-200mm F/2.8 GM OSS,S/ 200.00,1,1,1
LENTES,Sigma 50mm F1.4 DG DN Art para Sony,S/ 150.00,1,1,1
LENTES,Sigma 24-70mm F2.8 DG DN Art para Sony,S/ 150.00,1,1,1
LENTES,optica Tamron 70-300mm F4.5-6.3 Di III RXD para Sony,S/ 80.00,1,1,1
LENTES,Sony FE 70-200mm F4 G OSS,S/ 150.00,1,0,1
LENTES,Sigma MACRO 105mm F2.8 DG DN Art para Sony,S/ 50.00,1,1,1
LENTES,Sigma 85mm F1.4 DG HSM Art para Canon,S/ 150.00,1,0,1
LENTES,Sigma 14-24mm F2.8 DG DN Art para Sony,S/ 120.00,1,0,1
LENTES,Kit de 6 opticas Rokinon cine DS,S/ 350.00,1,1,0
LENTES,Rokinon Cine DS 85mm T1.5,S/ 80.00,1,0,1
LENTES,Rokinon Cine DS 50mm T1.5,S/ 80.00,1,0,1
LENTES,Rokinon Cine DS 35mm T1.5,S/ 80.00,1,1,1
LENTES,Rokinon Cine DS 24mm T1.5,S/ 80.00,1,0,1
LENTES,Rokinon Cine DS 135mm T2.2,S/ 80.00,1,0,0
LENTES,Rokinon Cine DS 14mm T3.1,S/ 80.00,1,1,1
LENTES,Canon EF 70-200mm f/2.8L IS II USM,S/ 140.00,1,1,1
PANEL,Modificador Parabolico SmallRig 85cm,S/ 50.00,1,0,1
SOFTBOX,Panel RGB Godox LP600R,S/ 50.00,1,0,1
SOFTBOX,Lantern ball softbox 90cm Aputure,S/ 40.00,1,1,1
SOFTBOX,Lantern ball softbox 85cm Zhiyun,S/ 35.00,0,0,1
ESTACION DE ENERGIA,Estacion de Energia Portatil EcoFlow,S/ 150.00,0,1,1
PANEL,Led RGB Zhiyun Fiveray M20C,S/ 50.00,1,1,1
SOFTBOX,Octabox 120cm Godox,S/ 20.00,1,0,11
MICROFONO,Microfono Shotgun Sennheiser MKE 600,S/ 90.00,1,0,0
BOOM,Boom Neewer fibra de carbono,S/ 25.00,1,0,1
ACCESORIO DE MICROFONO,Brazo Para Microfono Fifine BM63 White,S/ 15.00,1,0,1
MICROFONO,Microfono Zoom ZDM1 kit,S/ 50.00,1,0,1
MICROFONO,Microfono de condensador AudioTechnica AT2035 Kit,S/ 70.00,1,0,1
MICROFONO,Microfono de condensador cardioide AudioTechnica AT2035,S/ 50.00,1,0,1
AUDiFONOS,Audifonos Sony MDR 7506,S/ 15.00,1,0,0
CAMARA,Alexa XT Plus,,1,1,0
CAMARA,Red Epic X,,1,1,0
CAMARA,Red One Mysterium X,,1,1,1
CAMARA,Canon 5D Mark III,,1,1,1
CAMARA,Black Magic 4K,,1,1,1
CAMARA,16mm Bolex H16,,0,1,0
LENTES,Cooke Panchro 18mm,,1,1,0
LENTES,Cooke Panchro 25mm,,1,1,1
LENTES,Cooke Panchro 32mm,,1,1,1
LENTES,Cooke Panchro 50mm,,1,1,1
LENTES,Cooke Panchro 75mm,,1,1,1
LENTES,Cooke Panchro 100mm T2.8,,0,1,1
LENTES,"18mm, 25mm, 32mm, 50mm, 75mm y 100mm T2.8",,0,1,1
